drop,cdf
-0.0029920339001106022,0.03333333333333333
-0.0018018163175150814,0.06666666666666667
-0.0015136541973832518,0.1
-0.0014175168276833183,0.13333333333333333
-0.0011180292110680723,0.16666666666666666
-0.000988547611726509,0.2
-0.0009290667916710404,0.23333333333333334
-0.0005694053523302989,0.26666666666666666
-0.0005044505305720204,0.3
-1.4167616378957248e-06,0.3333333333333333
0.00017202824853890242,0.36666666666666664
0.0006220036669297713,0.4
0.0010805885202090915,0.43333333333333335
0.0011267759639297381,0.4666666666666667
0.0014642807907713218,0.5
0.0015086569855798926,0.5333333333333333
0.0017391884002420088,0.5666666666666667
0.0017605696847264873,0.6
0.0020547805153342535,0.6333333333333333
0.002659353625178329,0.6666666666666666
0.002712447386692518,0.7
0.003073169504923867,0.7333333333333333
0.0037567925741890384,0.7666666666666667
0.0038922090022136535,0.8
0.006628276418477741,0.8333333333333334
0.00745140768657182,0.8666666666666667
0.01731455603268861,0.9
0.02251912518971322,0.9333333333333333
0.03496450174153165,0.9666666666666667
0.06879376411669147,1.0
